Execution_Rep.csv
Order ID,Client Order ID,Instrument,Side,Exec Status,Quantity,Price,Reason,Transaction Time
odd1,aa13,Rose,1,0,300,65.00,,2023-5-22 22:38:17:205
odd2,aa14,Rose,2,2,100,65.00,,2023-5-22 22:38:17:206
odd1,aa13,Rose,1,3,100,65.00,,2023-5-22 22:38:17:206
odd3,aa15,Rose,1,0,100,75.00,,2023-5-22 22:38:17:206
odd4,aa16,Rose,2,0,100,85.00,,2023-5-22 22:38:17:206
odd5,aa17,Rose,2,0,500,100.00,,2023-5-22 22:38:17:207
odd6,aa18,Rose,1,0,200,5.00,,2023-5-22 22:38:17:207
odd7,aa19,Rose,2,3,100,75.00,,2023-5-22 22:38:17:207
odd3,aa15,Rose,1,2,100,75.00,,2023-5-22 22:38:17:207
odd7,aa19,Rose,2,3,200,65.00,,2023-5-22 22:38:17:208
odd1,aa13,Rose,1,2,200,65.00,,2023-5-22 22:38:17:208
odd7,aa19,Rose,2,3,200,5.00,,2023-5-22 22:38:17:208
odd6,aa18,Rose,1,2,200,5.00,,2023-5-22 22:38:17:208
odd8,aa20,Rose,1,3,400,1.00,,2023-5-22 22:38:17:208
odd7,aa19,Rose,2,2,400,1.00,,2023-5-22 22:38:17:208
odd9,aa21,Rose,2,0,80,100.00,,2023-5-22 22:38:17:209
odd10,aa22,Rose,1,0,500,20.00,,2023-5-22 22:38:17:209
odd11,aa23,Rose,2,3,500,20.00,,2023-5-22 22:38:17:209
odd10,aa22,Rose,1,2,500,20.00,,2023-5-22 22:38:17:209
odd12,aa24,Rose,2,3,300,2.00,,2023-5-22 22:38:17:209
odd8,aa20,Rose,1,2,300,2.00,,2023-5-22 22:38:17:210
